strain,damage_fraction
0.0,0.28
0.01020408163265306,0.29333333333333333
0.02040816326530612,0.31333333333333335
0.030612244897959183,0.32
0.04081632653061224,0.34
0.0510204081632653,0.3466666666666667
0.061224489795918366,0.3466666666666667
0.07142857142857142,0.36666666666666664
0.08163265306122448,0.37333333333333335
0.09183673469387754,0.4066666666666667
0.1020408163265306,0.41333333333333333
0.11224489795918366,0.44
0.12244897959183673,0.44666666666666666
0.13265306122448978,0.44666666666666666
0.14285714285714285,0.46
0.1530612244897959,0.4666666666666667
0.16326530612244897,0.48
0.17346938775510204,0.49333333333333335
0.18367346938775508,0.49333333333333335
0.19387755102040816,0.5066666666666667
0.2040816326530612,0.5066666666666667
0.21428571428571427,0.52
0.22448979591836732,0.5266666666666666
0.2346938775510204,0.54
0.24489795918367346,0.5666666666666667
0.25510204081632654,0.5733333333333334
0.26530612244897955,0.5866666666666667
0.2755102040816326,0.5866666666666667
0.2857142857142857,0.6
0.29591836734693877,0.6
0.3061224489795918,0.6066666666666667
0.31632653061224486,0.6133333333333333
0.32653061224489793,0.6133333333333333
0.336734693877551,0.62
0.3469387755102041,0.6266666666666667
0.3571428571428571,0.6266666666666667
0.36734693877551017,0.6466666666666666
0.37755102040816324,0.6466666666666666
0.3877551020408163,0.6466666666666666
0.39795918367346933,0.6666666666666666
0.4081632653061224,0.6666666666666666
0.4183673469387755,0.68
0.42857142857142855,0.6866666666666666
0.4387755102040816,0.6933333333333334
0.44897959183673464,0.6933333333333334
0.4591836734693877,0.7
0.4693877551020408,0.7266666666666667
0.47959183673469385,0.7266666666666667
0.4897959183673469,0.7333333333333333
0.5,0.74
