oxide_thickness,stiffness,failure_risk
0.0,8000.0,0.8
1.0,8070.0,0.807
2.0,8140.0,0.8140000000000001
3.0,8210.0,0.8210000000000001
4.0,8280.0,0.8280000000000001
5.0,8350.0,0.8350000000000001
6.0,8420.0,0.8420000000000001
7.0,8490.0,0.8490000000000001
8.0,8560.0,0.8560000000000001
9.0,8630.0,0.863
10.0,8700.0,0.87
11.0,8770.0,1.077
12.0,8840.0,1.284
13.0,8910.0,1.491
14.0,8980.0,1.698
15.0,9050.0,1.905
16.0,9120.0,2.112
17.0,9190.0,2.319
18.0,9260.0,2.5260000000000002
19.0,9330.0,2.733
20.0,9400.0,2.94
21.0,9470.0,3.1470000000000002
22.0,9540.0,3.3540000000000005
23.0,9610.0,3.561
24.0,9680.0,3.7680000000000002
25.0,9750.0,3.975
26.0,9820.0,4.182
27.0,9890.0,4.389
28.0,9960.0,4.596
29.0,10030.0,4.803000000000001
30.0,10100.0,5.01
