energy,failure_strain,oxide_thickness,stiffness,failure_risk
47040635.996021,0.0204081632653061,0.0,8000.0,0.8
47040635.996021,0.0204081632653061,1.0,8070.0,0.807
47040635.996021,0.0204081632653061,2.0,8140.0,0.8140000000000001
47040635.996021,0.0204081632653061,3.0,8210.0,0.8210000000000001
47040635.996021,0.0204081632653061,4.0,8280.0,0.8280000000000001
47040635.996021,0.0204081632653061,5.0,8350.0,0.8350000000000001
47040635.996021,0.0204081632653061,6.0,8420.0,0.8420000000000001
47040635.996021,0.0204081632653061,7.0,8490.0,0.8490000000000001
47040635.996021,0.0204081632653061,8.0,8560.0,0.8560000000000001
47040635.996021,0.0204081632653061,9.0,8630.0,0.863
47040635.996021,0.0204081632653061,10.0,8700.0,0.87
47040635.996021,0.0204081632653061,11.0,8770.0,1.077
47040635.996021,0.0204081632653061,12.0,8840.0,1.284
47040635.996021,0.0204081632653061,13.0,8910.0,1.491
47040635.996021,0.0204081632653061,14.0,8980.0,1.698
47040635.996021,0.0204081632653061,15.0,9050.0,1.905
47040635.996021,0.0204081632653061,16.0,9120.0,2.112
47040635.996021,0.0204081632653061,17.0,9190.0,2.319
47040635.996021,0.0204081632653061,18.0,9260.0,2.526
47040635.996021,0.0204081632653061,19.0,9330.0,2.733
47040635.996021,0.0204081632653061,20.0,9400.0,2.94
47040635.996021,0.0204081632653061,21.0,9470.0,3.147
47040635.996021,0.0204081632653061,22.0,9540.0,3.3540000000000005
47040635.996021,0.0204081632653061,23.0,9610.0,3.561
47040635.996021,0.0204081632653061,24.0,9680.0,3.768
47040635.996021,0.0204081632653061,25.0,9750.0,3.975
47040635.996021,0.0204081632653061,26.0,9820.0,4.182
47040635.996021,0.0204081632653061,27.0,9890.0,4.389
47040635.996021,0.0204081632653061,28.0,9960.0,4.596
47040635.996021,0.0204081632653061,29.0,10030.0,4.803000000000001
47040635.996021,0.0204081632653061,30.0,10100.0,5.01
